,,,,,UM 49 08 Rekomendasi Atas Penghapusbukuan Aset.pdf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan  ,Alasan Penghapusan ,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Realisasi Pelaksanaan Penghapusbukuan,,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan (Jual Lelang/Hapus Administrasi),Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,,Cek DAT
33,120503000018,REGION JAWA,REGION JATIM,12201,Speet Boat Patroli Tenaga 25 HP40 HP,Kapal,Rp1.440.000,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.775.000,Ya,,Jual Lelang,31/12/2021,,7.462.500,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A
34,120503000021,REGION JAWA,REGION JATIM,12201,Kapal Motor Artama III (Tj. Perak),Kapal,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.215.000,Ya,,Jual Lelang,31/12/2021,,27.746.500,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,Kapal Motor Artama Iii
35,120508000036,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.9001 RE,Kendaraan,Rp18.135.606,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp14.000.000,Ya,,Jual Lelang,31/12/2021,191.830.000,96.830.000,https://drive.google.com/file/d/1SHlgMQkmrOKnNCryxaaYM3WUSk50gSr/view?usp=drive_link,,#N/A
36,120508000050,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1081 PQ / L 1091 PQ / L 1521 SL,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp37.000.000,Ya,,Jual Lelang,31/12/2021,191.830.000,96.830.000,https://drive.google.com/file/d/1SHlgMQkmrOKnNCryxaaYM3WUSk50gSr/view?usp=drive_link,,#N/A
37,120508000051,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1088 PQ / L 1521 SR,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp37.000.000,Ya,,Jual Lelang,31/12/2021,191.830.000,96.830.000,https://drive.google.com/file/d/1SHlgMQkmrOKnNCryxaaYM3WUSk50gSr/view?usp=drive_link,,#N/A
38,1205030000030,REGION JAWA,REGION JATIM,12201,Kapal Kepil (TGL. PEROLEHAN : 01DEC92),Kapal,Rp8.200.000,120,01/12/1992,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp61.849.000,Ya,,Jual Lelang,31/12/2021,,68.043.900,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A
39,1205030000031,REGION JAWA,REGION JATIM,12201,Perbaikan Mesin Induk Kapal Pandu MPS032,Kapal,Rp218.405.296,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2021,,68.043.900,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A
40,1205030000150,REGION JAWA,REGION JATIM,12201,Kapal Kepil MPS033 (Kupang),Kapal,Rp8.200.000,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp61.849.000,Ya,,Jual Lelang,31/12/2021,,68.043.900,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A
41,1205030000151,REGION JAWA,REGION JATIM,12201,Overhaul Gearbox Mesin Induk & Mesin Bantu MPS033,Alat-alat Fisipel,Rp256.551.447,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2021,,68.043.900,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A
42,1205030000200,REGION JAWA,REGION JATIM,12201,Kapal Kepil MPS031 (Tg. Intan),Kapal,Rp8.200.000,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp61.849.000,Ya,,Jual Lelang,31/12/2021,71.150.000,78.275.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
