Surat Persetujuan Penghapusan dari Direksi,,,,,1. Surat Persetujuan Direksi atas Usulan Penghapusbukuan Aset Tahun 2018 .pdf.pdf,,,,,,,,,,,,,,,,,,
,,,,,,#ERROR!,,,,,,,,,,,,,,,,,
NO.,Nomor Aset,Subreg,Cabang,Profit Center ,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan ,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3
49,120508000111,REGION BALI NUSRA,BIMA,12406,Toyota Kijang Innova (EA 1317 S) ,Kendaraan,Rp34.684.545,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp72.000.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1uCNP_ih4jd4tzANUewxx4UHDgiNYYf/view?usp=drive_link
50,120507000398,REGION BALI NUSRA,CELUKAN BAWANG,12403,Mesin Ketik (Break Down),Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1lOBkP2It0AgX2W8YlCmtuebuASzdQbu/view?usp=drive_link
51,120507000399,REGION BALI NUSRA,CELUKAN BAWANG,12403,Mesin Ketik (Break Down),Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1lOBkP2It0AgX2W8YlCmtuebuASzdQbu/view?usp=drive_link
52,120507000411,REGION BALI NUSRA,CELUKAN BAWANG,12403,Komputer dan Kelengkapannya (Break Down),Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1lOBkP2It0AgX2W8YlCmtuebuASzdQbu/view?usp=drive_link
53,120507000412,REGION BALI NUSRA,CELUKAN BAWANG,12403,3 PC Server dan Kelengkapannya (Break Down),Peralatan,Rp3,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp60.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1lOBkP2It0AgX2W8YlCmtuebuASzdQbu/view?usp=drive_link
54,120505000457,REGION JAWA,TANJUNG INTAN,12305,Pesawat Telpon PABX Siemens (Demolished) ,Kendaraan,Rp55.240.249,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2020,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
55,120508000097,REGION JAWA,TANJUNG INTAN,12305,Toyota Kijang Innova G (R 9086 EB),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp70.000.000,Ya,,Jual Lelang,31/12/2020,,71.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
56,120508000098,REGION JAWA,TANJUNG INTAN,12305,Toyota Pick Up (R 1799 JB) ,Kendaraan,Rp4.462.690,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp55.000.000,Ya,,Jual Lelang,31/12/2020,,32.094.866,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
57,120508000100,REGION JAWA,TANJUNG INTAN,12305,Toyota Kijang Innova G (R 8750 FB),Kendaraan,Rp34.589.073,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp85.000.000,Ya,,Jual Lelang,31/12/2020,,85.506.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
58,120508000101,REGION JAWA,TANJUNG INTAN,12305,Toyota Hilux (R 1917 JB) ,Kendaraan,Rp45.048.459,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp70.000.000,Ya,,Jual Lelang,31/12/2020,,38.425.586,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
59,120508000102,REGION JAWA,TANJUNG INTAN,12305,Toyota Hilux (R 1699 JK) ,Kendaraan,Rp45.048.459,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp70.000.000,Ya,,Jual Lelang,31/12/2020,,70.006.200,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
60,120508000104,REGION JAWA,TANJUNG INTAN,12305,Toyota Kijang Innova G/AT Diessel (R 9191 PK),Kendaraan,Rp53.628.945,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp95.000.000,Ya,,Jual Lelang,31/12/2020,,96.506.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
61,120508000105,REGION JAWA,TANJUNG INTAN,12305,Toyota Kijang Innova G/MT Diessel (R9191 PT),Kendaraan,Rp44.694.218,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp95.000.000,Ya,,Jual Lelang,31/12/2020,,97.106.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
62,120508000106,REGION JAWA,TANJUNG INTAN,12305,Toyota Kijang Innova (R 9191 RT),Kendaraan,Rp45.048.459,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp110.000.000,Ya,,Jual Lelang,31/12/2020,,111.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
63,120508000107,REGION JAWA,TANJUNG INTAN,12305,Toyota Kijang Innova (R 9191 RK),Kendaraan,Rp45.048.459,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp110.000.000,Ya,,Jual Lelang,31/12/2020,,111.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
64,120508000108,REGION JAWA,TANJUNG INTAN,12305,Toyota Hilux (R 1670 RK) ,Kendaraan,Rp27.550.195,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp80.000.000,Ya,,Jual Lelang,31/12/2020,,65.309.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
65,0424,REGION JAWA,TANJUNG INTAN,12305,Tiang Antena Stasiun Pandu (Break Down),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp600.000,Ya,,Jual Lelang,31/12/2020,593.636,653.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
66,0562,REGION JAWA,TANJUNG INTAN,12305,Mesin Pompa air Centrifugal (Break Down),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp150.000,Ya,,Jual Lelang,31/12/2020,159.091,175.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
